Order No,Order Date,Customer Name,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount Percentage,Discount Dollar,Order Total,Shipping Cost,Total
5267-1,2013/05/22,Thais Sissman,Sydney,NSW,Home Office,Tina Carlton,Not Specified,Smiths Standard Envelopes,Technology,Jumbo Drum,Delivery Truck,2013/05/23,3.52,5.68,2.16,31,176.08,0.06,10.5648,165.5152,1.39,164.1252
5267-1,2015/09/12,Vivek Grady,Melbourne,VIC,Consumer,Connor Betts,High,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2015/10/12,2.45,3.89,1.44,42,163.38,0,0,163.38,7.01,156.37
5268-1,2013/02/17,Olvera Toch,Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,2013/02/22,1.84,2.88,1.04,11,31.68,0.09,2.8512,28.8288,0.99,27.8388
5269-1,2013/03/09,Rob Haberlin,Melbourne,VIC,Small Business,Connor Betts,Medium,"Artisan Flip-Chart Easel Binder, Black",Technology,Small Box,Regular Air,2013/05/09,13.88,22.38,8.5,24,537.12,0.06,32.2272,504.8928,15.1,489.7928
5269-1,2015/12/07,Bryan Spruell,Sydney,NSW,Small Business,Charlie Bui,Critical,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2015/07/14,1.94,3.08,1.14,50,154,0.09,13.86,140.14,0.99,139.15
5269-1,2013/11/10,Amy Cox,Sydney,NSW,Small Business,Aanya Zhang,Low,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2013/12/10,4.53,7.3,2.77,40,292,0.05,14.6,277.4,7.72,269.68
5270-1,2015/06/17,Lauren Leatherbury,Sydney,NSW,Small Business,Nicholas Fernandes,Critical,Steady Liquid Accent Highlighters,Office Supplies,Small Box,Regular Air,2015/06/19,3.47,6.68,3.21,6,40.08,0.03,1.2024,38.8776,1.5,37.3776
5270-1,2015/03/18,Erin Creighton,Sydney,NSW,Corporate,Aanya Zhang,Critical,Artisan Durable Poly Binders,Office Supplies,Wrap Bag,Regular Air,2015/03/21,3.37,5.53,2.16,7,38.71,0.03,1.1613,37.5487,6.98,30.5687
5271-1,2013/08/17,Valerie Dominguez,Sydney,NSW,Small Business,Tina Carlton,Not Specified,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Box,Regular Air,2013/08/17,1.31,2.84,1.53,18,51.12,0.02,1.0224,50.0976,0.93,49.1676
5271-1,2013/08/29,Nancy Lomonaco,Sydney,NSW,Consumer,Aanya Zhang,Low,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013/03/09,3.65,5.98,2.33,9,53.82,0.04,2.1528,51.6672,1.49,50.1772
5272-1,2013/11/10,Amy Cox,Sydney,NSW,Corporate,Mihael Khan,Medium,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013/12/10,1.09,1.68,0.59,23,38.64,0.01,0.3864,38.2536,1,37.2536
5272-1,2013/09/13,Naresj Patel,Sydney,NSW,Corporate,Leighton Forrest,Medium,Fluorescent Highlighters by DrawIt,Office Supplies,Small Box,Regular Air,2013/09/15,1.95,3.98,2.03,1,3.98,0,0,3.98,0.83,3.15
5272-1,2013/11/10,Amy Cox,Sydney,NSW,Small Business,Aanya Zhang,Medium,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2013/12/10,1.6,2.62,1.02,35,91.7,0.04,3.668,88.032,0.8,87.232
5272-1,2013/07/03,Sean ODonnell,Melbourne,VIC,Consumer,Yvette Biti,High,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013/10/03,3.65,5.98,2.33,42,251.16,0.1,25.116,226.044,1.49,224.554
5272-1,2013/11/10,Amy Cox,Sydney,NSW,Consumer,Aanya Zhang,Medium,Pizazz Dustless Chalk Sticks,Technology,Small Box,Regular Air,2013/12/10,1.09,1.68,0.59,14,23.52,0.04,0.9408,22.5792,1,21.5792
5272-1,2013/11/10,Amy Cox,Sydney,NSW,Corporate,Aanya Zhang,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,2013/12/10,1.09,1.68,0.59,16,26.88,0.1,2.688,24.192,1,23.192
5274-1,2013/05/26,Arianne Iaven,Melbourne,VIC,Small Business,Connor Betts,Low,Smiths SlimLine Pencil Sharpener,Technology,Small Box,Regular Air,2013/05/27,4.79,11.97,7.18,8,95.76,0,0,95.76,5.81,89.95
5274-1,2015/05/18,Sibella Parks,Melbourne,VIC,Corporate,Connor Betts,High,Apex Straight Scissors,Office Supplies,Small Box,Regular Air,2015/05/18,5.19,12.98,7.79,50,649,0.05,32.45,616.55,3.14,613.41
5274-1,2014/07/10,Cindy Chapman,Sydney,NSW,Small Business,Tina Carlton,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Wrap Bag,Regular Air,2014/02/10,13.88,22.38,8.5,41,917.58,0.02,18.3516,899.2284,15.1,884.1284
5274-1,2014/06/10,Eric Barreto,Sydney,NSW,Consumer,Phoebe Gour,Low,Wirebound Voice Message Log Book,Office Supplies,Small Box,Express Air,2014/02/10,2.9,4.76,1.86,34,161.84,0.03,4.8552,156.9848,0.88,156.1048
5274-1,2013/10/13,Sylvia Foulston,Sydney,NSW,Consumer,Tina Carlton,Low,300 Series Non-Flip,Office Supplies,Wrap Bag,Express Air,2013/10/13,62.4,155.99,93.59,12,1871.88,0.01,18.7188,1853.1612,8.08,1845.0812
5274-1,2013/09/20,Ann Chong,Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Wrap Bag,Regular Air,2013/09/21,13.88,22.38,8.5,11,246.18,0.01,2.4618,243.7182,15.1,228.6182
5274-1,2014/01/14,Fred Wasserman,Sydney,NSW,Corporate,Leighton Forrest,High,Smiths Standard Envelopes,Office Supplies,Wrap Bag,Regular Air,2014/01/17,3.52,5.68,2.16,33,187.44,0.05,9.372,178.068,1.39,176.678
5274-1,2015/05/19,Carlos Meador,Sydney,NSW,Corporate,Tina Carlton,High,Apex Straight Scissors,Office Supplies,Small Pack,Regular Air,2015/05/20,5.19,12.98,7.79,11,142.78,0.03,4.2834,138.4966,3.14,135.3566
5274-1,2013/10/13,Sylvia Foulston,Sydney,NSW,Home Office,Tina Carlton,Medium,300 Series Non-Flip,Office Supplies,Small Box,Regular Air,2013/10/13,62.4,155.99,93.59,50,7799.5,0.07,545.965,7253.535,8.08,7245.455
5276-2,2016/01/17,Cyra Reiten,Sydney,NSW,Small Business,Nicholas Fernandes,Critical,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,2016/01/17,2.52,4,1.48,16,64,0.01,0.64,63.36,1.3,62.06
5277-1,2013/10/20,Paul MacIntyre,Melbourne,VIC,Small Business,Yvette Biti,Critical,12 Colored Short,Office Supplies,Small Box,Regular Air,2013/10/22,21.56,36.55,14.99,6,219.3,0.02,4.386,214.914,13.89,201.024
5277-1,2013/09/05,Thea Hudgings,Melbourne,VIC,Small Business,Connor Betts,Critical,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,2013/11/05,2.52,4,1.48,24,96,0.07,6.72,89.28,1.3,87.98
5277-1,2013/02/14,Muhammed Yedwab,Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Regular Air,2013/02/15,1.17,2.78,1.61,18,50.04,0.02,1.0008,49.0392,1.2,47.8392
5277-1,2013/05/26,Luzen McCrida,Sydney,NSW,Corporate,Phoebe Gour,Low,12 Ellic Surge Strip,Technology,Medium Box,Regular Air,2013/05/28,4.46,10.89,6.43,47,511.83,0.03,15.3549,496.4751,4.5,491.9751
5277-1,2013/10/20,Jonit MacIntyre,Sydney,NSW,Corporate,Mihael Khan,Medium,12 Colored Short Pencils with Erasers,Office Supplies,Small Pack,Regular Air,2013/10/22,2.68,6.08,3.4,30,182.4,0.08,14.592,167.808,1.17,166.638
5277-1,2013/10/20,Paul MacIntyre,Melbourne,VIC,Corporate,Yvette Biti,Low,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013/10/22,1.09,2.6,1.51,19,49.4,0,0,49.4,2.4,47
5277-1,2013/10/20,Tamara Willingham,Sydney,NSW,Corporate,Phoebe Gour,Critical,12 Colored Short Pencils,Office Supplies,Small Box,Regular Air,2013/10/21,1.09,2.6,1.51,19,49.4,0,0,49.4,2.4,47
5277-1,2013/10/20,Roy Skaria,Sydney,NSW,Home Office,Samantha Chairs,High,12 Colored Short Pencils,Office Supplies,Small Box,Regular Air,2013/10/21,1.09,2.6,1.51,22,57.2,0.07,4.004,53.196,2.4,50.796
5277-1,2013/10/20,Tamara Willingham,Sydney,NSW,Consumer,Phoebe Gour,High,12 Colored Short Pencils,Office Supplies,Small Pack,Regular Air,2013/10/21,1.09,2.6,1.51,26,67.6,0.08,5.408,62.192,2.4,59.792
5277-1,2013/10/20,Tamara Willingham,Sydney,NSW,Consumer,Phoebe Gour,Medium,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013/10/21,1.09,2.6,1.51,30,78,0.09,7.02,70.98,2.4,68.58
5278-1,2016/06/14,Vivek Grady,Melbourne,VIC,Small Business,Connor Betts,Medium,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2016/06/14,3.99,6.23,2.24,35,218.05,0.04,8.722,209.328,6.97,202.358
5278-1,2013/03/27,Erica Smith,Sydney,NSW,Corporate,Tina Carlton,Low,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2013/03/27,3.99,6.23,2.24,42,261.66,0.08,20.9328,240.7272,6.97,233.7572
5278-1,2014/09/29,Christopher Martinez,Sydney,NSW,Home Office,Tina Carlton,Low,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2014/09/29,1.84,2.88,1.04,1,2.88,0.03,0.0864,2.7936,0.99,1.8036
5278-1,2014/03/31,Roland Murray,Sydney,NSW,Consumer,Nicholas Fernandes,High,Smiths Standard Envelopes,Office Supplies,Small Box,Regular Air,2014/03/31,3.52,5.68,2.16,50,284,0.07,19.88,264.12,1.39,262.73
5278-1,2013/10/28,Toby Knight,Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,2013/10/29,1.84,2.88,1.04,48,138.24,0.1,13.824,124.416,0.99,123.426
5279-1,2015/02/08,Nora Pelletier,Sydney,NSW,Corporate,Nicholas Fernandes,Low,Artisan Binder Labels,Technology,Jumbo Drum,Delivery Truck,2015/04/08,2.45,3.89,1.44,35,136.15,0.08,10.892,125.258,7.01,118.248
5279-1,2015/07/27,Michael Oakman,Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Express Air,2015/01/08,3.65,5.98,2.33,11,65.78,0.09,5.9202,59.8598,1.49,58.3698
5279-1,2013/03/27,Erica Smith,Sydney,NSW,Corporate,Tina Carlton,Not Specified,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013/03/27,2.5,5.68,3.18,41,232.88,0.02,4.6576,228.2224,3.6,224.6224
5279-1,2016/02/13,Pete Armstrong,Melbourne,VIC,Corporate,Connor Betts,Low,Binder Posts,Office Supplies,Small Pack,Regular Air,2016/02/16,3.5,5.74,2.24,49,281.26,0.1,28.126,253.134,5.01,248.124
5279-1,2013/11/16,Liz Carlisle,Sydney,NSW,Consumer,Samantha Chairs,High,Artisan 487 Labels,Office Supplies,Small Box,Regular Air,2013/11/16,2.29,3.69,1.4,7,25.83,0.09,2.3247,23.5053,0.5,23.0053
5280-1,2013/10/21,Tony Sayre,Melbourne,VIC,Corporate,Yvette Biti,Low,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,2013/10/23,3.65,5.98,2.33,41,245.18,0.03,7.3554,237.8246,1.49,236.3346
5280-1,2013/10/21,Darrin Sayre,Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Artisan Durable Binders,Office Supplies,Small Box,Regular Air,2013/10/23,1.84,2.88,1.04,31,89.28,0.08,7.1424,82.1376,1.49,80.6476
5280-1,2014/07/25,Philip Brown,Melbourne,VIC,Corporate,Yvette Biti,Medium,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,2014/07/27,8.92,29.74,20.82,4,118.96,0.1,11.896,107.064,6.64,100.424
5280-1,2013/10/21,Darrin Sayre,Sydney,NSW,Corporate,Phoebe Gour,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013/10/23,3.65,5.98,2.33,23,137.54,0.07,9.6278,127.9122,1.49,126.4222
5280-1,2013/09/08,Aaron Bergman,Sydney,NSW,Small Business,Natasha Song,Critical,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013/08/16,2.5,5.68,3.18,25,142,0.09,12.78,129.22,3.6,125.62
5280-1,2013/10/21,Benjamin Farhat,Sydney,NSW,Home Office,Tina Carlton,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013/10/22,3.65,5.98,2.33,19,113.62,0.01,1.1362,112.4838,1.49,110.9938
5280-1,2013/07/22,Rick Hansen,Sydney,NSW,Consumer,Nicholas Fernandes,Not Specified,Economy Binders,Office Supplies,Small Box,Regular Air,2013/07/23,1.33,2.08,0.75,39,81.12,0.09,7.3008,73.8192,1.49,72.3292
5280-1,2013/10/21,Darrin Sayre,Sydney,NSW,Home Office,Phoebe Gour,High,Artisan Hanging File Binders,Technology,Small Box,Regular Air,2013/10/23,3.65,5.98,2.33,2,11.96,0.03,0.3588,11.6012,1.49,10.1112
5280-1,2013/10/21,Darrin Sayre,Sydney,NSW,Home Office,Phoebe Gour,Low,Artisan Durable Poly Binders,Technology,Small Box,Regular Air,2013/10/23,3.37,5.53,2.16,29,160.37,0.04,6.4148,153.9552,6.98,146.9752
5280-1,2013/07/16,George Zrebassa,Sydney,NSW,Corporate,Samantha Chairs,High,Artisan Durable Poly Binders,Office Supplies,Small Pack,Regular Air,2013/07/17,3.37,5.53,2.16,39,215.67,0.04,8.6268,207.0432,6.98,200.0632
5280-1,2013/10/21,Tony Sayre,Melbourne,VIC,Consumer,Yvette Biti,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013/10/23,3.65,5.98,2.33,20,119.6,0.1,11.96,107.64,1.49,106.15
5280-1,2013/10/21,Kelly Lampkin,Sydney,NSW,Corporate,Eanya Zhang,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013/10/22,3.65,5.98,2.33,7,41.86,0.08,3.3488,38.5112,1.49,37.0212
5280-1,2015/04/15,Peel Damper,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Alto Perma 2700 Stacking Storage Drawers,Technology,Small Pack,Regular Air,2015/04/17,8.92,29.74,20.82,11,327.14,0.04,13.0856,314.0544,6.64,307.4144
5280-1,2013/10/21,Darrin Sayre,Sydney,NSW,Corporate,Phoebe Gour,Medium,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,2013/10/23,3.65,5.98,2.33,34,203.32,0,0,203.32,1.49,201.83
5280-1,2013/10/21,Darrin Sayre,Sydney,NSW,Home Office,Phoebe Gour,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013/10/23,3.65,5.98,2.33,18,107.64,0.05,5.382,102.258,1.49,100.768
5281-1,2015/01/05,Chad McGuire,Sydney,NSW,Consumer,Samantha Chairs,High,TechSavi Access Keyboard,Office Supplies,Small Box,Regular Air,2015/02/05,10.07,15.98,5.91,9,143.82,0,0,143.82,4,139.82
5281-1,2013/10/20,Tamara Willingham,Sydney,NSW,Consumer,Phoebe Gour,Critical,Binder Clips by OIC,Office Supplies,Wrap Bag,Regular Air,2013/10/21,0.93,1.48,0.55,22,32.56,0.04,1.3024,31.2576,0.7,30.5576
5281-1,2013/02/17,Olvera Toch,Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Self-Adhesive Ring Binder Labels,Office Supplies,Wrap Bag,Regular Air,2013/02/22,2.18,3.52,1.34,27,95.04,0,0,95.04,6.83,88.21
5282-1,2013/10/21,Amy Cox,Sydney,NSW,Corporate,Aanya Zhang,Critical,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Express Air,2013/10/23,1.18,1.88,0.7,39,73.32,0.07,5.1324,68.1876,1.49,66.6976
5282-1,2015/01/01,Michael Oakman,Melbourne,VIC,Corporate,Connor Betts,High,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,2015/03/01,3.84,6.3,2.46,10,63,0.04,2.52,60.48,0.5,59.98
5282-1,2013/10/21,Amy Cox,Sydney,NSW,Corporate,Aanya Zhang,Critical,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2013/10/23,1.18,1.88,0.7,39,73.32,0.07,5.1324,68.1876,1.49,66.6976
5282-1,2013/11/10,Stephanie Ulpright,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013/12/10,1.09,1.68,0.59,33,55.44,0.08,4.4352,51.0048,1,50.0048
5282-1,2013/10/06,Nora Paige,Sydney,NSW,Small Business,Mihael Khan,Low,Binder Posts,Technology,Jumbo Drum,Delivery Truck,2013/12/06,3.5,5.74,2.24,47,269.78,0.1,26.978,242.802,5.01,237.792
5283-1,2013/10/09,Matthew Clasen,Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013/09/14,1.94,3.08,1.14,38,117.04,0.1,11.704,105.336,0.99,104.346
5284-1,2013/07/22,Brad Thomas,Sydney,NSW,Corporate,Tina Carlton,Low,Smiths Standard Envelopes,Office Supplies,Wrap Bag,Regular Air,2013/07/29,3.52,5.68,2.16,39,221.52,0.05,11.076,210.444,1.39,209.054
5284-1,2013/09/06,Fley Castell,Sydney,NSW,Corporate,Leighton Forrest,Low,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,2013/09/06,2.98,5.84,2.86,8,46.72,0.01,0.4672,46.2528,0.83,45.4228
5284-1,2015/01/02,Custer Chalkon,Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Wrap Bag,Regular Air,2015/03/02,2.26,3.58,1.32,42,150.36,0.05,7.518,142.842,5.47,137.372
5284-1,2015/07/17,Tony Sayre,Melbourne,VIC,Corporate,Yvette Biti,High,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2015/07/19,4.53,7.3,2.77,23,167.9,0.02,3.358,164.542,7.72,156.822
5284-1,2015/05/22,Thomas Boland,Sydney,NSW,Home Office,Mihael Khan,Medium,Artisan 474 Labels,Office Supplies,Wrap Bag,Express Air,2015/05/24,1.84,2.88,1.04,5,14.4,0.08,1.152,13.248,0.99,12.258
5284-1,2013/08/12,Bel Wallans,Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,2013/10/12,3.84,6.3,2.46,27,170.1,0.03,5.103,164.997,0.5,164.497
5284-1,2013/10/28,Paul Prost,Melbourne,VIC,Consumer,Yvette Biti,Low,13 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013/10/29,1.09,2.6,1.51,44,114.4,0.01,1.144,113.256,2.4,110.856
5284-1,2014/01/12,Jesus Ocampo,Melbourne,VIC,Consumer,Yvette Biti,Not Specified,Artisan 474 Labels,Technology,Small Pack,Regular Air,2014/08/12,1.84,2.88,1.04,21,60.48,0.01,0.6048,59.8752,0.99,58.8852
5285-1,2013/03/09,Rob Haberlin,Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan 48 Labels,Office Supplies,Small Pack,Regular Air,2013/05/09,3.84,6.3,2.46,8,50.4,0.08,4.032,46.368,0.5,45.868
5285-1,2014/10/17,Sam Craven,Melbourne,VIC,Small Business,Connor Betts,High,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Express Air,2014/10/19,2.98,5.84,2.86,29,169.36,0.03,5.0808,164.2792,0.83,163.4492
5285-1,2014/09/27,Cindy Chapman,Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2014/02/10,2.45,3.89,1.44,19,73.91,0.1,7.391,66.519,7.01,59.509
5285-1,2013/09/26,Tamara Dhonney,Sydney,NSW,Home Office,Samantha Chairs,Medium,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Pack,Regular Air,2013/02/10,4.59,7.28,2.69,22,160.16,0.07,11.2112,148.9488,11.15,137.7988
5285-1,2013/07/30,Corinna Mitchell,Sydney,NSW,Consumer,Nicholas Fernandes,Critical,Desktop 3-Pocket Hot File,Technology,Jumbo Drum,Delivery Truck,2013/07/31,22.18,54.1,31.92,42,2272.2,0.07,159.054,2113.146,19.99,2093.156
5286-1,2016/10/05,Roy Collins,Sydney,NSW,Home Office,Natasha Song,Low,Wirebound Voice Message Log Book,Technology,Small Box,Regular Air,2016/12/05,2.9,4.76,1.86,14,66.64,0.03,1.9992,64.6408,0.88,63.7608
5286-1,2015/01/13,Max Jones,Melbourne,VIC,Small Business,Connor Betts,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,2015/01/15,0.71,1.14,0.43,27,30.78,0.1,3.078,27.702,0.7,27.002
5286-1,2013/04/19,Craig Carroll,Melbourne,VIC,Corporate,Connor Betts,High,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013/04/20,1.09,2.6,1.51,14,36.4,0.08,2.912,33.488,2.4,31.088
5286-1,2014/12/28,Tim Taslimi,Sydney,NSW,Home Office,Tina Carlton,Low,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Wrap Bag,Express Air,2014/12/28,4.53,7.3,2.77,43,313.9,0.01,3.139,310.761,7.72,303.041
5286-1,2013/10/26,Tamara Wizlingham,Sydney,NSW,Home Office,Phoebe Gour,Not Specified,Binding Machine Supplies,Technology,Small Box,Regular Air,2013/10/28,18.38,29.17,10.79,18,525.06,0.1,52.506,472.554,6.27,466.284
5286-1,2015/12/31,Matt Collister,Sydney,NSW,Small Business,Natasha Song,Medium,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,2016/01/01,21.56,36.55,14.99,39,1425.45,0.08,114.036,1311.414,13.89,1297.524
5286-1,2013/07/22,Rick Hansen,Sydney,NSW,Corporate,Nicholas Fernandes,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013/07/23,1.84,2.88,1.04,43,123.84,0.09,11.1456,112.6944,0.99,111.7044
5286-1,2013/07/30,Corinna Mitchell,Sydney,NSW,Small Business,Nicholas Fernandes,High,Artisan 48 Labels,Furniture,Small Pack,Regular Air,2013/07/31,3.84,6.3,2.46,31,195.3,0.03,5.859,189.441,0.5,188.941
5286-1,2014/01/13,Ashley Jarboe,Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan Legal 4-Ring Binder,Office Supplies,Wrap Bag,Regular Air,2014/01/18,13.64,20.98,7.34,17,356.66,0.09,32.0994,324.5606,1.49,323.0706
5286-1,2013/11/03,Art Foster,Sydney,NSW,Corporate,Stevie Bacata,Low,3Max Organizer Strips,Office Supplies,Wrap Bag,Regular Air,2013/03/13,3.4,5.4,2,19,102.6,0,0,102.6,7.78,94.82
5287-1,2014/02/22,Amy Cox,Sydney,NSW,Home Office,Aanya Zhang,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2014/02/23,5.33,8.6,3.27,37,318.2,0.04,12.728,305.472,6.19,299.282
5288-1,2013/10/07,Julie Kriz,Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Small Pack,Regular Air,2013/10/07,1.76,3.38,1.62,49,165.62,0.02,3.3124,162.3076,0.85,161.4576
5288-1,2014/09/27,Anthony Johnson,Sydney,NSW,Home Office,Aanya Zhang,High,HFX LaserJet 3310 Copier,Office Supplies,Small Box,Regular Air,2014/09/29,377.99,599.99,222,23,13799.77,0.01,137.9977,13661.7723,24.49,13637.2823
5288-1,2014/01/12,Ritsa Hightower,Sydney,NSW,Consumer,Natasha Song,Low,Smiths File Caddy,Technology,Small Box,Regular Air,2014/05/12,4.03,9.38,5.35,26,243.88,0.01,2.4388,241.4412,7.28,234.1612
5288-1,2013/07/08,Alex Grayson,Sydney,NSW,Consumer,Radhya Staples,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013/09/08,5.33,8.6,3.27,30,258,0.01,2.58,255.42,6.19,249.23
5290-1,2013/10/28,Toby Knight,Melbourne,VIC,Home Office,Connor Betts,Low,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Box,Express Air,2013/10/29,1.87,8.12,6.25,6,48.72,0.1,4.872,43.848,2.83,41.018
5290-1,2013/06/26,Roy Collins,Sydney,NSW,Consumer,Natasha Song,High,Alto Memo Cubes,Office Supplies,Wrap Bag,Regular Air,2013/06/27,3.32,5.18,1.86,31,160.58,0.09,14.4522,146.1278,2.04,144.0878
5290-1,2013/10/28,Toby Knight,Melbourne,VIC,Home Office,Connor Betts,High,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Wrap Bag,Regular Air,2013/10/29,1.87,8.12,6.25,28,227.36,0.04,9.0944,218.2656,2.83,215.4356
5290-1,2013/10/28,Toby Knight,Melbourne,VIC,Corporate,Yvette Biti,Medium,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Small Box,Regular Air,2013/10/29,1.87,8.12,6.25,50,406,0.09,36.54,369.46,2.83,366.63
5290-1,2013/02/11,Eugene Hildebrand,Melbourne,VIC,Small Business,Connor Betts,Not Specified,PastelOcean Color Pencil Set,Office Supplies,Small Pack,Regular Air,2013/03/11,11.11,19.84,8.73,18,357.12,0.02,7.1424,349.9776,4.1,345.8776
5290-1,2013/02/26,Natalie Webber,Sydney,NSW,Corporate,Phoebe Gour,High,"Laser Neon Mac Format Diskettes, 10/Pack",Furniture,Small Pack,Regular Air,2013/02/26,1.87,8.12,6.25,37,300.44,0.09,27.0396,273.4004,2.83,270.5704
5290-1,2013/10/28,Toby Knight,Melbourne,VIC,Consumer,Connor Betts,High,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Wrap Bag,Regular Air,2013/10/29,1.87,8.12,6.25,27,219.24,0.07,15.3468,203.8932,2.83,201.0632
5290-1,2015/04/12,Lindsay Castell,Sydney,NSW,Home Office,Nicholas Fernandes,Low,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Small Box,Regular Air,2015/05/12,84.22,210.55,126.33,37,7790.35,0.09,701.1315,7089.2185,9.99,7079.2285
5290-1,2013/05/26,Thomas Boland,Sydney,NSW,Small Business,Mihael Khan,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Express Air,2013/05/26,5.33,8.6,3.27,28,240.8,0.04,9.632,231.168,6.19,224.978
5291-1,2014/08/06,John Lee,Melbourne,VIC,Home Office,Connor Betts,Not Specified,Binding Machine Supplies,Office Supplies,Small Box,Regular Air,2014/10/06,18.38,29.17,10.79,18,525.06,0.1,52.506,472.554,6.27,466.284
5291-1,2013/07/05,Grant Carroll,Sydney,NSW,Home Office,Aanya Zhang,Critical,Artisan Hanging File Binders,Office Supplies,Small Pack,Regular Air,2013/09/05,3.65,5.98,2.33,16,95.68,0.03,2.8704,92.8096,1.49,91.3196
